Corn_Price,Barley_Price,Oats_Price,Sorghum_Price
0.66,0.95,0.47,
0.78,1.22,0.59,
0.62,1.49,0.54,
0.73,0.87,0.46,
0.52,0.85,0.43,
0.46,0.77,0.39,
0.38,0.74,0.32,
0.48,0.96,0.37,
0.64,0.96,0.52,
0.42,0.86,0.37,
0.36,0.69,0.35,
0.36,0.63,0.29,
0.31,0.58,0.24,
0.36,0.6,0.33,
0.39,0.66,0.35,
0.63,0.82,0.46,
0.48,0.63,0.37,
0.42,0.59,0.32,
0.35,0.48,0.27,
0.32,0.56,0.28,
0.36,0.53,0.29,
0.43,0.52,0.3,
0.33,0.59,0.27,
0.28,0.42,0.22,
0.5,0.62,0.42,
0.4,0.52,0.31,
0.39,0.47,0.32,
0.36,0.4,0.29,
0.45,0.44,0.32,
0.25,0.33,0.19,
0.21,0.3,0.18,
0.26,0.34,0.21,
0.29,0.39,0.25,
0.3,0.39,0.25,
0.35,0.41,0.25,
0.6,0.45,0.4,
0.4,0.45,0.31,
0.42,0.45,0.34,
0.44,0.41,0.31,
0.41,0.39,0.29,
0.39,0.42,0.32,
0.51,0.67,0.44,
0.65,0.57,0.49,
0.58,0.57,0.42,
0.48,0.6,0.34,
0.65,0.81,0.44,
0.51,0.51,0.33,
0.66,0.53,0.37,
0.67,0.53,0.43,
0.65,0.51,0.37,
1.13,0.79,0.47,
1.39,1.22,0.68,
1.45,0.96,0.66,
1.44,1.28,0.75,1.4
0.54,0.91,0.52,0.68
0.46,0.5,0.3,0.53
0.69,0.51,0.36,0.93
0.76,0.55,0.39,0.88
1.02,0.74,0.47,0.99
0.65,0.62,0.37,0.76
0.72,0.57,0.39,0.64
0.8,0.7,0.46,0.73
0.8,0.59,0.39,0.7
0.76,0.6,0.4,0.76
0.55,0.42,0.31,0.57
0.29,0.35,0.2,0.3
0.29,0.23,0.15,0.31
0.49,0.43,0.33,0.51
0.8,0.64,0.46,0.87
0.63,0.38,0.26,0.54
1.03,0.75,0.43,0.92
0.49,0.55,0.3,0.51
0.47,0.38,0.23,0.41
0.54,0.4,0.31,0.58
0.6,0.39,0.3,0.49
0.74,0.55,0.41,0.58
0.89,0.63,0.48,0.79
1.08,1,0.71,1.14
1.03,1.01,0.69,0.91
1.23,1.01,0.65,1.2
1.53,1.38,0.81,1.4
2.16,1.73,1.04,1.83
1.28,1.16,0.72,1.28
1.24,1.06,0.66,1.13
1.52,1.19,0.79,1.05
1.66,1.26,0.82,1.32
1.52,1.37,0.79,1.58
1.48,1.17,0.74,1.32
1.43,1.09,0.71,1.26
1.35,0.92,0.6,0.97
1.29,0.99,0.69,1.15
1.11,0.89,0.61,0.97
1.12,0.9,0.58,1
1.05,0.86,0.65,0.86
1,0.84,0.6,0.83
1.1,0.98,0.64,1.01
1.12,0.92,0.62,1.02
1.11,0.9,0.62,0.97
1.17,0.95,0.63,1.05
1.16,1.02,0.62,0.99
1.24,1.06,0.67,1.02
1.03,1.01,0.66,0.99
1.08,0.92,0.6,0.95
1.16,0.89,0.58,1.07
1.33,0.97,0.62,1.14
1.08,0.99,0.6,1.04
1.57,1.21,0.72,1.37
2.55,2.14,1.18,2.14
3.02,2.81,1.53,2.77
2.54,2.42,1.45,2.36
2.15,2.25,1.56,2.03
2.02,1.78,1.09,1.82
2.25,1.92,1.2,2.01
2.52,2.27,1.33,2.35
3.11,2.79,1.72,2.91
2.5,2.48,1.88,2.25
2.55,2.18,1.49,2.47
3.21,2.47,1.62,2.74
2.63,2.29,1.67,2.32
2.23,1.98,1.23,1.93
1.5,1.61,1.21,1.37
1.94,1.81,1.56,1.7
2.54,2.8,2.61,2.27
2.36,2.42,1.49,2.1
2.28,2.14,1.14,2.12
2.37,2.1,1.21,2.25
2.07,2.04,1.32,1.89
2.5,1.99,1.36,2.31
2.26,2.03,1.22,2.13
3.24,2.89,1.67,3.19
2.71,2.74,1.96,2.34
2.43,2.38,1.6,2.21
1.94,1.98,1.1,1.66
1.82,2.13,1.12,1.57
1.85,2.11,1.1,1.89
1.97,2.22,1.59,1.94
2.32,2.72,1.81,2.32
2.42,2.83,1.48,2.39
2.06,2.48,1.48,1.79
2,2.53,1.63,1.86
3.04,2.85,1.87,3.29
4.2,4.02,2.63,4.08
4.06,5.37,3.15,3.2
3.55,4.66,2.02,3.22
5.18,3.86,2.52,5.02
6.22,5.35,3.49,5.99
6.89,6.43,3.89,6.33
4.46,6.06,3.75,4.28
3.7,5.3,3.21,4.03
3.6,5.5,2.15,3.3
