Beef_Farm_Price,Beef_Wholesale_Price,Beef_Retail_Price,Pork_Farm_Price,Pork_Wholesale_Price,Pork_Retail_Price,Chicken_Retail_Price,Oil_Price
129,152.6,232.9,85.55,104.15,178.8,119.59,22.93
121.6,143.1,228.5,81.62,100.58,178.06,117.2,15.46
120.4,141,226.4,76.9,97.11,175.42,115.46,12.61
116.8,137.8,223.1,76.01,96.38,171.61,116.44,12.84
121,142.8,222.9,89.83,108.04,171.71,116.49,15.38
113.9,138.4,222.7,105.28,117.92,176.16,121.91,13.43
125.5,146.9,223.5,114.88,133.9,194.04,132.92,11.59
128.8,149.3,226.3,119.64,138.63,201.34,144.09,15.1
129.6,149.5,227.1,112.36,133.79,205.68,139.69,14.87
129.5,150.9,227.3,101.75,124.54,206.2,136.19,14.9
134.8,156,229.8,101.01,124.44,203.67,137.66,15.22
129,150.1,230.8,95.52,119.29,202.4,137.37,16.11
126.4,147.5,232.6,88.89,110.78,199.01,130.62,18.65
132.4,151.4,229.6,91.32,109.09,196.36,128.61,17.75
134.1,153.6,229.6,90.24,107.41,191.82,126.44,18.3
144.5,166.1,232.8,97.05,113.93,189.28,124.84,18.68
151.7,176,239.3,104.76,122.97,194.35,123.26,19.44
149.5,173.5,245.2,115.2,130.64,198.48,121.88,20.07
139.9,163.8,244,115.97,132.64,204.83,120,21.34
137.1,157,241.2,113.6,133.48,207.58,123.39,20.31
138.4,159.5,241.3,103.07,125.91,208.32,122.57,19.53
137.9,159.2,241.5,91.35,118.45,205.68,123.02,19.86
136.9,156.8,242.4,76.25,108.36,200.17,119.56,18.85
135.5,155.4,241.1,77.66,111.93,196.36,118.96,17.28
137.5,159.3,238.8,83.66,109.3,196.05,119.26,17.13
144.1,163.3,242.1,88.64,110.67,193.72,117.22,16.8
149.6,169.6,244.3,80.46,108.78,193.93,120.36,16.2
153.4,172.6,245.9,78.94,107.73,193.51,121.23,17.86
159.5,183,248.9,89.28,111.83,194.25,126.36,17.42
149,174.2,255.5,90.22,111.72,198.8,134.73,16.53
138.8,159.2,254.9,85.31,105.1,198.27,146.39,15.5
143.8,165.7,253.4,86.19,106.57,196.26,148.07,15.52
146.6,169.1,255.3,76.41,102.16,195.62,148.16,14.54
149.6,171.1,253.4,73.09,100.69,192.13,144.57,13.77
152.3,171.8,256,68.37,96.9,188.32,141.23,14.14
154.8,174.1,255.6,77.51,102.79,187.69,141.61,16.38
156.6,175.2,259.2,78.28,99.11,191.6,142.44,18.02
158.4,176.3,258.2,76.63,97.43,189.7,140.53,17.94
164.6,180.5,264.7,74.36,96.48,190.12,141.59,19.48
165,182.7,265.3,69.32,93.12,189.91,145.54,21.07
161.8,182.3,266.7,80.3,100.37,187.37,151.4,20.12
153.7,176.3,268.9,86.92,104.68,189.49,158.11,20.05
151.2,174.2,269.7,88.26,105.73,193.4,155.35,19.78
155.7,173.7,268.2,87.65,106.47,195.31,152.18,18.58
146.8,169.6,266.2,82.54,105.73,195.1,146.46,19.59
152.1,169.5,265,88.78,111.51,196.58,144.66,20.1
159.8,177.1,266.4,85.91,112.35,200.6,140.38,19.86
164.9,183.8,269.4,93.28,118.03,202.29,140.28,21.1
167.6,187.1,274.4,89.86,110.14,206.42,139.84,22.86
167.2,186,271,92.02,110.99,207.9,142.62,22.11
169.3,187.7,272.5,97.8,116.56,208.43,148.34,20.39
170.8,190.1,277.9,101.07,120.65,212.55,143.49,18.43
167.2,191.6,283.6,116.81,133.69,218.16,147.91,18.2
163.8,187,282.1,113.78,132.01,230.75,148.45,16.7
160.5,182.4,279.9,116.42,133.79,235.09,149.96,18.45
166.7,187.1,280.6,106.11,126.65,237.94,147.22,27.31
166.7,186.6,280.6,103.3,126.86,233.61,148.55,33.51
171,192.2,282.7,107,130.74,236.15,145.22,36.04
174.7,197.6,291.6,92.9,125.8,235.83,143.38,32.33
174.7,199.4,295.3,90.67,123.49,236.15,141.06,27.28
170.2,192.6,294.9,95.58,115.29,228.63,144.31,25.23
171.1,189.6,292.5,97.5,115.72,228,144.18,20.48
175.5,193.4,295.4,97.07,116.45,226.31,142.78,19.9
175.3,194.1,297.1,95.59,115.29,223.98,142.17,20.83
170,190.9,296.1,102.5,121.39,225.67,144.95,21.23
160.9,186.1,292.4,102.96,121.92,227.05,144.61,20.19
156.2,178.8,288.4,104.34,121.6,230.33,144.89,21.4
145.1,172.2,285.4,95.22,117.19,226.62,146.6,21.69
146.8,170.8,280.1,87.63,112.56,224.19,143.47,21.89
149.8,174.5,277.2,81.43,109.93,219.75,140.71,23.23
152.5,175.1,281,71.09,102.58,217,140.95,22.46
149.2,171.8,279.4,72.8,103.31,212.55,141.52,19.5
155.2,176.6,278.7,69.46,98.37,210.22,143.95,18.79
165.7,184.6,282.5,76.1,104.36,211.39,138.64,19.01
168.5,183.3,285.6,73.19,100.48,209.7,135.65,18.92
168.3,182.6,287.6,77.86,100.06,205.46,138.22,20.23
164.1,183.4,285.8,86.05,106.36,207.79,137.82,20.98
159.4,180.8,287.1,89.29,110.14,208.53,142.28,22.39
156.9,173.6,283.8,84.73,106.99,212.23,144.17,21.78
159,175.8,280.1,84.04,106.89,212.02,144.86,21.34
159.6,175.9,284.1,79.09,104.68,211.18,142.93,21.88
160.1,177.5,285.6,78.81,103.84,209.91,144.04,21.69
159.5,177.1,287.1,77.5,101.84,207.79,143.72,20.34
165.1,184.2,287.3,78.25,103.84,207.69,145.11,19.41
170.2,188.5,288.4,77.55,99.85,207.37,142.66,19.03
172.7,187.8,292.5,83.06,104.05,205.15,141.34,20.09
178.7,191.7,295.5,87.59,107.83,205.15,143.87,20.32
177.2,193.5,299.1,84.48,107.52,202.5,144.15,20.25
175.5,195.3,304.2,87.98,107.83,206.1,145,19.95
165.8,185.2,297.9,90.36,111.09,207.9,143.21,19.09
157.6,175.9,296.7,86.37,108.04,211.81,143.7,17.89
